term,baseline_estimate,baseline_se,baseline_t,baseline_p,bic_estimate,bic_se,bic_t,bic_p,baseline_direction,bic_direction,sign_consistent
1,36.90025663430432,4.23153946257122,8.720291270043488,6.637616243551295e-9,35.75369588638317,3.0850336743069597,11.589402146287785,4.413549837512325e-11,Positive,Positive,TRUE
2,-0.3426458480422318,0.3254819040723917,-1.0527339423638822,0.30294717723202363,-0.26793001640541914,0.20124465025695326,-1.3313646651641207,0.1961153790348107,Negative,Negative,TRUE
3,-0.029042256852139917,0.03206061299770412,-0.9058546963596624,0.3740176580879251,-0.038684006719487296,0.027674912860441346,-1.397800488643359,0.17551004654787966,Negative,Negative,TRUE
4,0.30538599099539365,0.20843957140296795,1.4651056368034985,0.15587065667960565,0.25769054860874496,0.13483216806513462,1.9111948751299468,0.06852062065901637,Positive,Positive,TRUE
5,-0.5199258265931251,0.07807634230188909,-6.659198052372713,6.89698585631503e-7,-0.494448374547002,0.05202274039505598,-9.50446613908083,1.9768583724655385e-9,Negative,Negative,TRUE
