year,gdp_growth,inflation,investment_gfcf,labour_participation
2026,5.1476144578249245,5.010846311227727,17.91690192253173,67.385
2027,5.178619870327788,5.010846311227727,17.91690192253173,67.385
2028,5.207836809515731,5.010846311227727,17.91690192253173,67.385
2029,5.235368439208874,5.010846311227727,17.91690192253173,67.385
2030,5.261311972468276,5.010846311227727,17.91690192253173,67.385
