year,gdp_growth,inflation,investment_gfcf,labour_participation,unemployment_forecast,lower_80,upper_80,lower_95,upper_95
2026,5.1476144578249245,5.010846311227727,17.91690192253173,67.385,5.467612821185577,5.366402385432443,5.568823256938711,5.312824817121573,5.622400825249581
2027,5.178619870327788,5.010846311227727,17.91690192253173,67.385,5.4722983514389245,5.329165180543151,5.615431522334698,5.253395056798948,5.691201646078901
2028,5.207836809515731,5.010846311227727,17.91690192253173,67.385,5.471423160098121,5.296121543117507,5.646724777078735,5.203322472657089,5.739523847539154
2029,5.235368439208874,5.010846311227727,17.91690192253173,67.385,5.4695324118965605,5.2671115403902915,5.6719532834028294,5.159956403768552,5.779108420024569
2030,5.261311972468276,5.010846311227727,17.91690192253173,67.385,5.46684634194081,5.240532927564426,5.693159756317194,5.1207298427521835,5.812962841129437
