term,Estimate,Std. Error,t value,Pr(>|t|),interpretation
d(gdp_growth),-0.024295324624781532,0.008649748101729086,-2.8087898444030865,0.009728418019897506,Short-run change in GDP growth
d(inflation),0.0014187168703608398,0.0022278264221247536,0.6368166102490882,0.5302721798221408,Short-run change in inflation
d(investment_gfcf),0.03355426545664357,0.012007070198537426,2.794542290652285,0.010055804218194797,Short-run change in investment
d(labour_participation),-0.34843682347157656,0.02425166323860785,-14.367543373968537,2.763268525355863e-13,Short-run change in labour participation
